timestamp_s      , pid  , runtime_ns, runtime_ms, switches, nice, tickets
1764245021.330554,   131,    1332718,      1.333,       82, -120,        300
1764245021.330554,   132,      62389,      0.062,        3, 0   ,        100
1764245021.330554,   133,     632786,      0.633,       38, 0   ,        100
1764245021.330554,   137,     267426,      0.267,       26, -120,        300
1764245021.330554,   138,     816864,      0.817,       97, 0   ,        100
1764245021.330554,   143,     185900,      0.186,       19, -120,        300
1764245021.330554,   144,     130111,      0.130,       13, 0   ,        100
1764245021.330554,   149,     161829,      0.162,       17, -120,        300
1764245021.330554,   150,      25985,      0.026,        6, 0   ,        100
1764245021.330554,   152,     101735,      0.102,        4, -20 ,        300
1764245021.330554,   155,     195765,      0.196,       18, -120,        300
1764245021.330554,   156,      16220,      0.016,        4, 0   ,        100
1764245021.330554,   157,     778540,      0.779,       34, 0   ,        100
1764245021.330554,   161,     112952,      0.113,       12, -120,        300
1764245021.330554,   162,      44417,      0.044,        7, 0   ,        100
1764245021.330554,   167,     110796,      0.111,       13, -120,        300
1764245021.330554,   168,      41698,      0.042,       11, 0   ,        100
1764245021.330554,   173,      98135,      0.098,       10, -120,        300
1764245021.330554,   174,      35204,      0.035,        4, 0   ,        100
1764245021.330554,   179,     125377,      0.125,       12, -120,        300
1764245021.330554,   180,       8713,      0.009,        1, 0   ,        100
1764245021.330554,   194,     558947,      0.559,       50, 0   ,        100
1764245021.330554,   196,     249905,      0.250,       10, 19  , 4294967206
1764245021.330554,   200,    7184172,      7.184,       50, -71 ,        300
1764245021.330554,   201,    1273784,      1.274,       61, 0   ,        100
1764245021.330554,   218,     971616,      0.972,       53, 0   ,        100
1764245021.330554,   219,     732728,      0.733,      170, 0   ,        100
1764245021.330554,   224,     121038,      0.121,        6, -20 ,        300
1764245021.330554,   245,     517696,      0.518,       34, 0   ,        100
1764245021.330554,   246,     716099,      0.716,       35, 0   ,        100
1764245021.330554,   283,     199210,      0.199,        9, -20 ,        300
1764245021.330554,   286,     218744,      0.219,       14, -20 ,        300
1764245021.330554,   297,     318337,      0.318,       20, -20 ,        300
1764245021.330554,   298,      88730,      0.089,        3, -20 ,        300
1764245021.330554,   302,     110143,      0.110,        7, -20 ,        300
1764245021.330554,   304,     236433,      0.236,       11, -20 ,        300
1764245021.330554,   305,      23308,      0.023,        2, -20 ,        300
1764245021.330554,   306,     162493,      0.162,        9, -20 ,        300
1764245021.330554,   307,     177547,      0.178,        8, -20 ,        300
1764245021.330554,   309,     169714,      0.170,       14, -20 ,        300
1764245021.330554,   312,     268831,      0.269,       11, -20 ,        300
1764245021.330554,   313,     277348,      0.277,       11, -20 ,        300
1764245021.330554,   317,     136562,      0.137,        7, -20 ,        300
1764245021.330554,   327,     131206,      0.131,        4, -20 ,        300
1764245021.330554,   344,     230243,      0.230,        5, -20 ,        300
1764245021.330554,   347,      50612,      0.051,        3, -20 ,        300
1764245021.330554,   350,     156115,      0.156,        8, -20 ,        300
1764245021.330554,   352,      46413,      0.046,        4, -20 ,        300
1764245021.330554,   395,     956638,      0.957,       48, 0   ,        100
1764245021.330554,   422,     426525,      0.427,       30, 0   ,        100
1764245021.330554,   425,    6972479,      6.972,      963, 0   ,        100
1764245021.330554,   445,    2435800,      2.436,       53, 0   ,        100
1764245021.330554,   487,     974584,      0.975,        7, -1  ,        110
1764245021.330554,   624,     841591,      0.842,       50, 0   ,        100
1764245021.330554,   660,    1936455,      1.936,      178, 0   ,        100
1764245021.330554,   698,  389681206,    389.681,   113002, 0   ,        100
1764245021.330554,   737,   21338074,     21.338,      103, 0   ,        100
1764245021.330554,   738,    2113157,      2.113,       16, 0   ,        100
1764245021.330554,   774,    3814485,      3.814,      275, 0   ,        100
1764245021.330554,   776,    4572515,      4.573,      118, -71 ,        300
1764245021.330554,   778,     138603,      0.139,        4, 0   ,        100
