iteration, timestamp_s      , pid  , runtime_ns, runtime_ms, delta_ns , delta_ms, rolling_runtime_ms, switches, nice, tickets, ticket_share
        1, 1764308934.943256,   243,     576383,      0.576,         0,    0.000,              0.000,       29, 0   ,     100,     0.001519
        1, 1764308934.943256,   244,     895602,      0.896,         0,    0.000,              0.000,       40, 0   ,     100,     0.001519
        1, 1764308934.943256,   245,     562631,      0.563,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,   282,     935699,      0.936,         0,    0.000,              0.000,       38, -20 ,     300,     0.004558
        1, 1764308934.943256,   286,      64789,      0.065,         0,    0.000,              0.000,        3, -20 ,     300,     0.004558
        1, 1764308934.943256,   299,     361233,      0.361,         0,    0.000,              0.000,       16, -20 ,     300,     0.004558
        1, 1764308934.943256,   307,     503530,      0.504,         0,    0.000,              0.000,       28, -20 ,     300,     0.004558
        1, 1764308934.943256,   308,      20936,      0.021,         0,    0.000,              0.000,        1, -20 ,     300,     0.004558
        1, 1764308934.943256,   309,    2959839,      2.960,         0,    0.000,              0.000,      190, -20 ,     300,     0.004558
        1, 1764308934.943256,   310,    2182010,      2.182,         0,    0.000,              0.000,      117, -20 ,     300,     0.004558
        1, 1764308934.943256,   311,     434574,      0.435,         0,    0.000,              0.000,       30, -20 ,     300,     0.004558
        1, 1764308934.943256,   312,    1231496,      1.231,         0,    0.000,              0.000,       78, -20 ,     300,     0.004558
        1, 1764308934.943256,   315,      92354,      0.092,         0,    0.000,              0.000,       10, -20 ,     300,     0.004558
        1, 1764308934.943256,   316,     263523,      0.264,         0,    0.000,              0.000,       15, -20 ,     300,     0.004558
        1, 1764308934.943256,   319,     131547,      0.132,         0,    0.000,              0.000,        7, -20 ,     300,     0.004558
        1, 1764308934.943256,   321,     505832,      0.506,         0,    0.000,              0.000,       31, -20 ,     300,     0.004558
        1, 1764308934.943256,   326,      39235,      0.039,         0,    0.000,              0.000,        3, -20 ,     300,     0.004558
        1, 1764308934.943256,   362,    2629114,      2.629,         0,    0.000,              0.000,      156, -20 ,     300,     0.004558
        1, 1764308934.943256,   368,    1125295,      1.125,         0,    0.000,              0.000,       50, 0   ,     100,     0.001519
        1, 1764308934.943256,   386,    6225310,      6.225,         0,    0.000,              0.000,       74, 0   ,     100,     0.001519
        1, 1764308934.943256,   414,     627780,      0.628,         0,    0.000,              0.000,       32, 0   ,     100,     0.001519
        1, 1764308934.943256,   433,     547939,      0.548,         0,    0.000,              0.000,       32, -20 ,     300,     0.004558
        1, 1764308934.943256,   437,    1086697,      1.087,         0,    0.000,              0.000,       37, 0   ,     100,     0.001519
        1, 1764308934.943256,   438,     209219,      0.209,         0,    0.000,              0.000,       12, 0   ,     100,     0.001519
        1, 1764308934.943256,   439,     640614,      0.641,         0,    0.000,              0.000,       36, 0   ,     100,     0.001519
        1, 1764308934.943256,   459,     983207,      0.983,         0,    0.000,              0.000,       25, 0   ,     100,     0.001519
        1, 1764308934.943256,   500,    8871135,      8.871,         0,    0.000,              0.000,       39, -1  ,     110,     0.001671
        1, 1764308934.943256,   528,     840391,      0.840,         0,    0.000,              0.000,       33, 0   ,     100,     0.001519
        1, 1764308934.943256,   636,     138518,      0.139,         0,    0.000,              0.000,       12, 0   ,     100,     0.001519
        1, 1764308934.943256,   703,    4124424,      4.124,         0,    0.000,              0.000,      378, 0   ,     100,     0.001519
        1, 1764308934.943256,   705,  296973094,    296.973,         0,    0.000,              0.000,    76750, 0   ,     100,     0.001519
        1, 1764308934.943256,   734,   12612953,     12.613,         0,    0.000,              0.000,       58, 0   ,     100,     0.001519
        1, 1764308934.943256,   735,    2182221,      2.182,         0,    0.000,              0.000,        7, 0   ,     100,     0.001519
        1, 1764308934.943256,   740,     430817,      0.431,         0,    0.000,              0.000,       20, 0   ,     100,     0.001519
        1, 1764308934.943256,   773,   37960755,     37.961,         0,    0.000,              0.000,     1186, -20 ,     300,     0.004558
        1, 1764308934.943256,   784,   36881872,     36.882,         0,    0.000,              0.000,      935, 0   ,     100,     0.001519
        1, 1764308934.943256,   787,     555822,      0.556,         0,    0.000,              0.000,        7, 0   ,     100,     0.001519
        1, 1764308934.943256,   790,     440565,      0.441,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   792,    5606860,      5.607,         0,    0.000,              0.000,        9, 0   ,     100,     0.001519
        1, 1764308934.943256,   798,    1429224,      1.429,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   816,     203623,      0.204,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   825,     112522,      0.113,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   852,    2087449,      2.087,         0,    0.000,              0.000,       44, 0   ,     100,     0.001519
        1, 1764308934.943256,   854,    1698554,      1.699,         0,    0.000,              0.000,       39, 0   ,     100,     0.001519
        1, 1764308934.943256,   875,  224901719,    224.902,         0,    0.000,              0.000,     1903, -71 ,     300,     0.004558
        1, 1764308934.943256,   876,     268072,      0.268,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,   878,     102746,      0.103,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   898,    2574949,      2.575,         0,    0.000,              0.000,       63, 0   ,     100,     0.001519
        1, 1764308934.943256,   914,   20732641,     20.733,         0,    0.000,              0.000,     3282, 0   ,     100,     0.001519
        1, 1764308934.943256,   916,   23190575,     23.191,         0,    0.000,              0.000,      776, -71 ,     300,     0.004558
        1, 1764308934.943256,   918,    1150862,      1.151,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,   954,     136113,      0.136,         0,    0.000,              0.000,       10, 0   ,     100,     0.001519
        1, 1764308934.943256,  1199,    1680624,      1.681,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,  1230,    3194854,      3.195,         0,    0.000,              0.000,        8, 0   ,     100,     0.001519
        1, 1764308934.943256,  1481,      60835,      0.061,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,  1482,      81471,      0.081,         0,    0.000,              0.000,        2, -120,     300,     0.004558
        1, 1764308934.943256,  1680,      45261,      0.045,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,  1937,     525588,      0.526,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,  1939,    2679591,      2.680,         0,    0.000,              0.000,      147, 0   ,     100,     0.001519
        1, 1764308934.943256,  1945,    7240761,      7.241,         0,    0.000,              0.000,       57, 0   ,     100,     0.001519
